"studlab","estimate","ci_lower","ci_upper","se","weight","p_value","is_summary","summary_type","subgroup","sm"
"Protocol 154",0.2343,0.0968985098484385,0.371701490151562,0.070104089276827,198.025796446591,0.000831252102886155,FALSE,"none",NA,"MD"
"Protocol 156",0.2541,0.0662693533923941,0.441930646607606,0.0958337235220596,107.303432573408,0.00801428338010175,FALSE,"none",NA,"MD"
"Protocol 157",0.1451,-0.0464045183080779,0.336604518308078,0.0977081823026551,103.282816580094,0.137534743997387,FALSE,"none",NA,"MD"
"Protocol 162A",-0.1347,-0.37982612750791,0.11042612750791,0.125066648898364,63.3836855829864,0.281468766786261,FALSE,"none",NA,"MD"
"Protocol 163",0.1566,0.00717991787002306,0.306020082129977,0.0762361366375013,168.146006068955,0.0399617599096685,FALSE,"none",NA,"MD"
"Protocol 166",0.0894,-0.102765480482976,0.281565480482976,0.0980454140988065,102.583387996723,0.361862242362918,FALSE,"none",NA,"MD"
"Protocol 303A",0.6669,0.175806856275429,1.15799314372457,0.250562330531709,15.8940198760634,0.00777671926316526,FALSE,"none",NA,"MD"
"Protocol 306",0.1423,-0.00145259885406687,0.286052598854067,0.0733445104032365,181.334151391177,0.0523603893476135,FALSE,"none",NA,"MD"
"Common effect",0.161895034420051,0.0986027147512202,0.225187354088882,0.0322925932150145,NA,5.34821831197465e-07,TRUE,"common",NA,"MD"
"Random effects",0.161729303105978,0.0978007384905727,0.225657867721384,0.0326172139486572,NA,7.1074879832683e-07,TRUE,"random",NA,"MD"
"Prediction interval",0.161729303105978,0.0798454536418722,0.243613152570084,0.0346286939284117,NA,NA,TRUE,"predict",NA,"MD"
