"studlab","estimate","ci_lower","ci_upper","se","weight","p_value","is_summary","summary_type","subgroup","sm"
"MRC-1 1974",0.719714150097569,0.488974527498926,1.05933628178986,0.197219808813356,18.6431772237006,0.0953776273947825,FALSE,"none",NA,"OR"
"CDP 1976",0.680759803921569,0.457390903739836,1.01321190877669,0.202897166338921,17.8857175483986,0.0580560965983917,FALSE,"none",NA,"OR"
"MRC-2 1979",0.802870189171559,0.606452881924272,1.06290292267234,0.14314855217028,28.3810478440818,0.125077167786611,FALSE,"none",NA,"OR"
"GASP 1979",0.800738688827331,0.486261036375971,1.31859721388238,0.254488896229045,12.577371093206,0.382552121606774,FALSE,"none",NA,"OR"
"PARIS 1980",0.798143236074271,0.552563354216578,1.15286802939419,0.187615682220362,20.0228592821001,0.229460283533597,FALSE,"none",NA,"OR"
"AMIS 1980",1.13273640473657,0.934664677874735,1.37278298087936,0.098064939620213,41.0508943464537,0.203744015349504,FALSE,"none",NA,"OR"
"ISIS-2 1988",0.89496936012541,0.829417577294091,0.965701930475584,0.0388097655985153,61.5404659423952,0.0042467939195903,FALSE,"none",NA,"OR"
"Common effect",0.896865560913071,0.840514400891779,0.956994708833649,0.0331087145299348,NA,0.00101033431297245,TRUE,"common",NA,"OR"
"Random effects",0.868278255438379,0.755936227215837,0.997315781046511,0.0706927362319752,NA,0.0457182582806259,TRUE,"random",NA,"OR"
"Prediction interval",0.868278255438379,0.61567356055512,1.22452412636878,0.140501728741953,NA,NA,TRUE,"predict",NA,"OR"
