"studlab","estimate","ci_lower","ci_upper","se","weight","p_value","is_summary","summary_type","subgroup","sm"
"random",NA,NA,NA,NA,NA,NA,TRUE,"subgroup_header","random","RR"
"Aronson 1948",0.410938654841094,0.134301570832589,1.25739838332279,0.570600354892951,1.56536635459837,0.119102032291586,FALSE,"none","random","RR"
"Ferguson & Simes 1949",0.204868154158215,0.0862974496335646,0.486352270738137,0.441113501718258,1.96918443994013,0.000325564061477669,FALSE,"none","random","RR"
"Rosenthal et al 1960",0.25974025974026,0.0734425906880758,0.918608696913673,0.644490469571091,1.37247392659634,0.0364664114704724,FALSE,"none","random","RR"
"Hart & Sutherland 1977",0.236560523606413,0.179280894081421,0.312140797911936,0.141456819921302,3.00071995178712,2.18073624587409e-24,FALSE,"none","random","RR"
"Vandiviere et al 1973",0.197721021611002,0.0783565766814312,0.498919223409139,0.472247019654243,1.86476509614365,0.000598462796113714,FALSE,"none","random","RR"
"TPT Madras 1980",1.01202404809619,0.894571977550143,1.14489688882256,0.0629410779842364,3.15253636800272,0.849389698456634,FALSE,"none","random","RR"
"Coetzee & Berjak 1968",0.625366345142315,0.392576266000499,0.996196406932455,0.237558856840255,2.70506022524064,0.0481541347124529,FALSE,"none","random","RR"
"  Common (random)",0.704331720117839,0.635559782964707,0.780545253587422,0.0524210040631086,NA,2.28785763869365e-11,TRUE,"subgroup_common","random","RR"
"  Random (random)",0.378717597960143,0.220506586885566,0.650443240859436,0.275955701509003,NA,0.000433908827041657,TRUE,"subgroup_random","random","RR"
"alternate",NA,NA,NA,NA,NA,NA,TRUE,"subgroup_header","alternate","RR"
"Frimodt-Moller et al 1973",0.804489533795327,0.516293127126651,1.2535580583614,0.226296646395016,2.74383427535927,0.33638278745531,FALSE,"none","alternate","RR"
"Stein & Aronson 1953",0.455611144836826,0.387132335327848,0.536202988891976,0.0831000508778951,3.12354614118491,3.08329573640661e-21,FALSE,"none","alternate","RR"
"  Common (alternate)",0.491403533277988,0.421980272859702,0.572248154828735,0.0777091239048849,NA,6.07787670561861e-20,TRUE,"subgroup_common","alternate","RR"
"  Random (alternate)",0.582286338406365,0.335302563039175,1.01119829452386,0.281601613103888,NA,0.0548050521388616,TRUE,"subgroup_random","alternate","RR"
"systematic",NA,NA,NA,NA,NA,NA,TRUE,"subgroup_header","systematic","RR"
"Rosenthal et al 1961",0.253765465303927,0.149420943521767,0.430976474001032,0.270231000466321,2.58887531554838,3.88081052576237e-07,FALSE,"none","systematic","RR"
"Comstock et al 1974",0.712226836059195,0.572513682986257,0.886034833887225,0.111410116109623,3.07072927469927,0.00231882811824077,FALSE,"none","systematic","RR"
"Comstock & Webster 1969",1.56191619962637,0.373689111221834,6.52837383106691,0.729729981020482,1.18238365945254,0.541155687971923,FALSE,"none","systematic","RR"
"Comstock et al 1976",0.982835076874145,0.582137461533975,1.65934139642692,0.267216503390016,2.59977963558409,0.948338250845719,FALSE,"none","systematic","RR"
"  Common (systematic)",0.640967683201296,0.533601303668805,0.769937344762254,0.0935374849320327,NA,1.98388680817486e-06,TRUE,"subgroup_common","systematic","RR"
"  Random (systematic)",0.654288205793984,0.323260963380506,1.32429555293136,0.359745387368798,NA,0.238323434995274,TRUE,"subgroup_random","systematic","RR"
"Common effect",0.635267185077769,0.588128729691417,0.686183782670126,0.0393373668712944,NA,8.91137967074168e-31,TRUE,"common",NA,"RR"
"Random effects",0.489420936788213,0.344074293400216,0.69616608378248,0.179781531780362,NA,7.05426734852064e-05,TRUE,"random",NA,"RR"
"Prediction interval",0.489420936788213,0.135967131732669,1.76169674475158,0.587847535633338,NA,NA,TRUE,"predict",NA,"RR"
