"studlab","estimate","ci_lower","ci_upper","se","weight","p_value","is_summary","summary_type","subgroup","sm"
"Axelsson et al. 2009",0.187,-0.00114188786408183,0.362355847041278,0.0971285862357264,56.9980301558009,0.0513901368647404,FALSE,"none",NA,"ZCOR"
"Axelsson et al. 2011",0.162,0.0914245311148967,0.230956189123947,0.0366126012969106,105.809062801301,8.04305728155302e-06,FALSE,"none",NA,"ZCOR"
"Bruce et al. 2010",0.34,0.0821091529609257,0.555216107454528,0.138675049056307,36.5747418780097,0.0106677660404822,FALSE,"none",NA,"ZCOR"
"Christensen et al. 1999",0.32,0.138559744153638,0.480656286046944,0.098058067569092,56.4146621201059,0.000719208200354507,FALSE,"none",NA,"ZCOR"
"Christensen & Smith 1995",0.27,0.0408890757649968,0.472136196738225,0.120385853085769,44.2414111281916,0.021459347374145,FALSE,"none",NA,"ZCOR"
"Cohen et al. 2004",0,-0.243899110393707,0.243899110393707,0.127000127000191,41.2549151847092,1,FALSE,"none",NA,"ZCOR"
"Dobbels et al. 2005",0.175,0.0269313142737711,0.315554462551469,0.0764719112901873,71.6411567630149,0.0207654637093586,FALSE,"none",NA,"ZCOR"
"Ediger et al. 2007",0.05,-0.0589451723814149,0.157768147875399,0.0556414884074657,89.2340945085805,0.36846093536883,FALSE,"none",NA,"ZCOR"
"Insel et al. 2006",0.26,0.00182691507917231,0.485679073212037,0.134839972492648,38.0339174515044,0.0484371717389842,FALSE,"none",NA,"ZCOR"
"Jerant et al. 2011",0.00999999999999996,-0.0606492478009869,0.080549552375284,0.0360843918243516,106.240717523281,0.781674630087585,FALSE,"none",NA,"ZCOR"
"Moran et al. 1997",-0.09,-0.344743538191822,0.177090682655151,0.137360563948689,37.0666516076291,0.511188886784174,FALSE,"none",NA,"ZCOR"
"O'Cleirigh et al. 2007",0.37,0.177587226309865,0.535165457694063,0.106600358177805,51.350149316747,0.000268713576025906,FALSE,"none",NA,"ZCOR"
"Penedo et al. 2003",0,-0.182316605426081,0.182316605426081,0.0940720868383597,58.9620513156404,1,FALSE,"none",NA,"ZCOR"
"Quine et al. 2012",0.15,0.0662274176247806,0.231672754980514,0.0432742322407915,100.168655222775,0.000478307173568968,FALSE,"none",NA,"ZCOR"
"Stilley et al. 2004",0.24,0.0871245623881919,0.381831678722857,0.0803219328902499,68.6713358612607,0.0023082023463313,FALSE,"none",NA,"ZCOR"
"Wiebe & Christensen 1997",0.0400000000000001,-0.205907940938422,0.281156160892769,0.127000127000191,41.2549151847092,0.752664124216053,FALSE,"none",NA,"ZCOR"
"Common effect",0.124526929834484,0.091603570915036,0.157178340229422,0.0169980538342476,NA,1.78244116516938e-13,TRUE,"common",NA,"ZCOR"
"Random effects",0.148804838999526,0.0878325856187289,0.208666254011634,0.0315610331082375,NA,2.03318469674929e-06,TRUE,"random",NA,"ZCOR"
"Prediction interval",0.148804838999526,-0.0534321512667971,0.339315768585769,0.095428520418392,NA,NA,TRUE,"predict",NA,"ZCOR"
