"studlab","estimate","ci_lower","ci_upper","se","weight","p_value","is_summary","summary_type","subgroup","sm"
"Giannotta et al.",0.941176470588235,0.713110603332779,0.998511825608733,1.03077640640442,0.941176470588235,NA,FALSE,"none",NA,"PLOGIT"
"Haraguchi and Ebina",0.833333333333333,0.515862251314033,0.979137474539908,0.774596669241483,1.66666666666667,NA,FALSE,"none",NA,"PLOGIT"
"Swift and Solomon",0.5,0.157012770487058,0.842987229512942,0.707106781186548,2,NA,FALSE,"none",NA,"PLOGIT"
"Kassell et al.",0.741379310344828,0.609568339131525,0.847448131634895,0.299870773200982,11.1206896551724,NA,FALSE,"none",NA,"PLOGIT"
"Tanabe et al.",0.954545454545454,0.691502892181239,1,1.44749372891149,0.477272727272727,NA,FALSE,"none",NA,"PLOGIT"
"Awad et al.",0.595238095238095,0.432820890720037,0.743709074516342,0.31436209919735,10.1190476190476,NA,FALSE,"none",NA,"PLOGIT"
"Finn et al.",0.928571428571429,0.661315510068179,0.998193219340875,1.03774904332554,0.928571428571429,NA,FALSE,"none",NA,"PLOGIT"
"Hadeishi et al.",0.961538461538461,0.735351530602949,1,1.4422205101856,0.480769230769231,NA,FALSE,"none",NA,"PLOGIT"
"Otsubo et al.",0.536585365853658,0.374248428313749,0.693440567148599,0.313187043796377,10.1951219512195,NA,FALSE,"none",NA,"PLOGIT"
"Muizelaar and Becker",0.8,0.283582063881911,0.994949236620532,1.11803398874989,0.8,NA,FALSE,"none",NA,"PLOGIT"
"Rosenstein et al.",0.833333333333333,0.358765421002325,0.99578925548551,1.09544511501033,0.833333333333333,NA,FALSE,"none",NA,"PLOGIT"
"Levy et al.",0.782608695652174,0.562969273763186,0.925396592351196,0.505525029603437,3.91304347826087,NA,FALSE,"none",NA,"PLOGIT"
"Shimoda et al.",0.852941176470588,0.74613658507053,0.927159948521258,0.342405285167073,8.52941176470588,NA,FALSE,"none",NA,"PLOGIT"
"Solomon et al.",0.6,0.262378076606945,0.878447741880173,0.645497224367903,2.4,NA,FALSE,"none",NA,"PLOGIT"
"Common effect",0.754601226992473,0.704963635234239,0.798277324568417,0.1287050691349,NA,NA,TRUE,"common",NA,"PLOGIT"
"Random effects",0.798445096529633,0.692402619995603,0.874553367602886,0.288387187848756,NA,NA,TRUE,"random",NA,"PLOGIT"
"Prediction interval",0.798445096529633,0.402507718044281,0.958839153959593,0.820059797763657,NA,NA,TRUE,"predict",NA,"PLOGIT"
